claim,case_name,overruling_case,label,class
The constitutional protection against unreasonable government intrusions does not apply to assets owned by noncitizens residing overseas when examined by United States officials.,"[""United States v. Verdugo-Urquidez""]",,0,Refuted
"Providing capital, professional advice, and supervisory control to a segment qualifies it as part of the enterprise's functional core for fiscal purposes, thus subjecting sale proceeds to levy in regions where the owning entity conducts commerce.","[""MeadWestvaco Corp. v. Illinois Department of Revenue""]",,0,Refuted
Farmers can only sell protected seed for planting if the amount does not exceed what they need to replant their own fields.,"[""Asgrow Seed Company v. Winterboer""]",,1,Supported
"The duty of a vessel owner toward a maritime employee does not include covering legal representation expenses, even when that owner unlawfully fails to provide proper living costs and healthcare during recuperation.","[""Vaughan v. Atkinson""]",,0,Refuted
"A defendant may seek diminution of their term of imprisonment following updates to sentencing parameters, except when the judicial authority explicitly pronounced that the original period would have remained identical absent those parameters.","[""Hughes v. United States""]",,1,Supported
Unambiguous statutory language renders judicial reference to congressional enactment materials unnecessary.,"[""BedRoc Limited, LLC v. United States""]",Salazar v. Buono; Woods v. Donald,2,Overruled
"If a strict reading of a law would stop it from achieving its main purpose, the law is interpreted to make that purpose possible.","[""King v. Burwell""]",Schweiker v. Chilicky,2,Overruled
Legal confidentiality surrounding discussions between an individual and their counsel must endure posthumously to foster complete candor.,"[""Swidler & Berlin v. United States""]",,0,Refuted
"Transfer of equity ownership involving third parties does not impact business management; thus, states have no regulatory power over these transactions via organizational statutes.","[""Edgar v. MITE Corporation""]",,1,Supported
The constitutional due process clause does not mandate a pre-deprivation procedural assessment for tenured employees experiencing income deprivation followed by prompt post-deprivation review.,"[""Gilbert v. Homar""]",,1,Supported
Comprehensive oversight of commercial practices invalidates attempts to apply divergent legal standards.,"[""Credit Suisse Securities (USA) LLC v. Billing"", ""FTC v. Phoebe Putney Health System""]",,0,Refuted
The constitutional safeguards for journalism do not prohibit law enforcement from obtaining magistrate authorization to examine press facilities when probable cause of criminal evidence exists.,"[""Zurcher v. Stanford Daily""]",,0,Refuted
Denying financial support to new residents to deter interstate migration violates constitutional protections.,"[""Shapiro v. Thompson""]",,1,Supported
"When the courtroom setup allows media to interact with the trial process, it can interfere with the right to a fair trial.","[""Sheppard v. Maxwell""]",,1,Supported
The constitutional right to expression does not prevent a political subdivision from exercising authority to adjudicate written defamation lawsuits when the accused intentionally directed their conduct toward that subdivision.,"[""Calder v. Jones""]",,1,Supported
"When law enforcement's physical actions conform to constitutional standards, prior distinct privacy breaches do not establish liability.","[""County of Los Angeles v. Mendez""]",,1,Supported
Courts refuse enforcement of monetary compensation for invention exploitation once statutory exclusivity concludes.,"[""Kimble v. Marvel""]",,0,Refuted
Courts possess the authority to decide whether punitive fees for inaccurate reporting apply to multi-person business arrangements during fiscal inspections.,"[""United States v. Woods""]",,0,Refuted
Transitioning between civilian and hazard-specific protective clothing is not considered compensable under federal wage law.,"[""Sandifer v. United States Steel Corporation""]",,1,Supported
The government can only ban speech that falls into a few specific categories already recognized by courts; it cannot create new categories of unprotected speech.,"[""United States v. Stevens""]",,1,Supported
"Judicial proceedings for Social Security disability claims restrict attorney compensation to one-quarter of amounts due prior to judgment, with administrative agency matters entirely outside this limit.","[""Culbertson v. Berryhill""]",,0,Refuted
"Forbidding faith-based attire may impair cohesion and discipline among uniformed personnel, potentially violating freedom of conscience.","[""Goldman v. Weinberger""]",,0,Refuted
"The rule that delays the start of the time limit until fraud is discovered does apply to government enforcement cases, and the Supreme Court considered when the government became aware of the fraud and the need to protect injured parties when deciding whether to apply it in this case.","[""Gabelli v. Securities and Exchange Commission""]",,0,Refuted
Employer and employee agreements can enforce joining worker associations without detailing requirements for continuous compliance.,"[""Marquez v. Screen Actors Guild, Inc.""]",,1,Supported
People may seek relief from judicial directives that diminish their entitlements even if they weren't involved in the respective case.,"[""Martin v. Wilks""]",,0,Refuted
Testimony about communications monitored via a concealed transmitter operated by an individual aiding law enforcement is admissible despite that person's unavailability.,"[""United States v. White""]",,1,Supported
"Control over prison release protocols resides with elected lawmakers, courts powerless to alter.","[""Martinez v. California""]",,1,Supported
Mere interest in attending does not automatically entitle citizens or journalists to be present in legal proceedings for crimes.,"[""Gannett Company, Inc. v. DePasquale"", ""Richmond Newspapers Inc. v. Virginia""]",,0,Refuted
"A final hearing must happen within two months of being arrested for the violation, where the person can present evidence and argue their case.","[""Morrissey v. Brewer""]",,1,Supported
Detained individuals must receive proper help for courtroom actions as the Constitution requires; offering only book-based resources is insufficient to meet this duty.,"[""Bounds v. Smith""]",,0,Refuted
Government agencies must clearly explain any changes to how they understand a law.,"[""Encino Motorcars v. Navarro""]",,1,Supported
"A regulation that contradicts the law's text is invalid, even if it has been used for many years.","[""Brown v. Gardner""]",,1,Supported
Only federal statutes may criminalize unauthorized employment.,"[""Arizona v. United States""]",,1,Supported
Statutory protections against electoral discrimination encompass judicial officeholders within the category of protected elected officials.,"[""Chisom v. Roemer""]",,1,Supported
"Law enforcement personnel may block remote deletion of electronic device data while obtaining judicial permissions, but examination without authorization is prohibited.","[""Riley v. California""]",,1,Supported
"Federal courts may review state convictions when new evidence demonstrates the defendant did not commit the charged offense, irrespective of the crime's potential penalty.","[""Dretke v. Haley""]",,0,Refuted
Parties initiating legal actions lose the authority to transition disputes to the national judiciary when subjected to claims filed by defendants.,"[""Home Depot U.S.A., Inc. v. Jackson""]",,1,Supported
"When multiple people are in a car and drugs are found, police can arrest any occupant if the circumstances support a reasonable belief they were involved in having the drugs.","[""Maryland v. Pringle""]",,1,Supported
The expense of pursuing an individual arbitration claim does not make an arbitration clause invalid.,"[""American Express Co., et al. v. Italian Colors Restaurant""]",,1,Supported
Agreements among competitors to control retail prices are legally permissible.,"[""United States v. Sealy, Inc.""]",,0,Refuted
The practice of exhibiting sacred texts in government-sponsored educational facilities is prohibited when the principal aim is to promote belief in a higher power.,"[""McCreary County v. American Civil Liberties Union of Ky."", ""Stone v. Graham""]",,1,Supported
"In cases where trial evidence demonstrates the factfinder would have determined the critical facts for sentencing absent the error, prosecutors may contend the mistake was not outcome-determinative.","[""Washington v. Recuenco""]",Descamps v. United States,2,Overruled
Public schools cannot hold religious classes during school hours on school property.,"[""Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County""]",,1,Supported
Procedural time frames in insolvency proceedings may be forfeited if not challenged early; courts need not uphold them irrespective of timing.,"[""Kontrick v. Ryan""]",,1,Supported
"Despite state restrictions on specific activities, federal laws targeting criminal networks permit litigation against healthcare payment systems for dishonest transaction practices.","[""Humana Inc. v. Forsyth""]",,1,Supported
Federal entities may prohibit animal foraging within geographically defined spaces to maintain ecosystem health.,"[""Public Lands Council v. Babbitt""]",,1,Supported
Federal legislative permission is mandatory for any subnational regulatory activity affecting tribal sovereign territories.,"[""California v. Cabazon Band of Mission Indians""]",,1,Supported
"When commercial enterprises receive public support, race-based denials of service violate constitutional guarantees.","[""Burton v. Wilmington Parking Authority""]",,1,Supported
Pecuniary compensation may be requested by tribes for the United States' failure to conserve assets held for their benefit.,"[""United States v. White Mt. Apache Tribe""]",,1,Supported
"In federal revenue administration scenarios, courts factor in sector-specific customs for employment status determinations, avoiding sole dependence on traditional legal frameworks.","[""United States v. W. M. Webb, Inc.""]",,0,Refuted
"The statutory authority permitting suits against federal entities for wrongdoing does not extend to events on foreign soil, no matter where the plan was formed.","[""Sosa v. Alvarez-Machain""]",,1,Supported
"Medical staff have the right to deny standard care to individuals suffering from immune-compromising viral infections based exclusively on infection status, without verified evidence of imminent physical risk to themselves or third parties.","[""Bragdon v. Abbott""]",,0,Refuted
An established period for contesting a government-authorized exclusive invention right begins at delivery of the lawsuit's commencement papers and continues flowing despite the plaintiff's autonomous termination of the alleged unauthorized appropriation dispute with filing rights preserved.,"[""Thryv, Inc. v. Click-To-Call Technologies, LP""]",,0,Refuted
Administrative agencies may terminate retirement payments for individuals subjected to immigration removal proceedings without violating foundational legal principles.,"[""Flemming v. Nestor""]",,1,Supported
Constitutional guarantees afford electoral organizations the autonomy to determine their nominees for public roles and regulate who joins the selection process.,"[""California Democratic Party v. Jones""]",,0,Refuted
"Federal law enforcement officers are always required to obtain a warrant before making an arrest, even when they have probable cause and a federal statute allows a warrantless arrest.","[""United States v. Watson""]",,0,Refuted
Tax liability applies to nonprofit promotional revenue when content is unrelated to instructional purposes.,"[""United States v. American College of Physicians""]",,1,Supported
Statements anchored by future contingencies fall outside legal threat classifications because they require unpredictable eventualities.,"[""Watts v. United States""]",,1,Supported
An individual not part of the lawsuit who faces sanctions for refusing discovery demands may contest the court's authority over the core legal dispute.,"[""United States Catholic Conference v. Abortion Rights Mobilization, Inc.""]",,0,Refuted
"In communal spaces, legally binding constraints prevent heritage-based inequities regardless of operating authority external to state control.","[""Evans v. Newton"", ""Plessy v. Ferguson""]",,1,Supported
"When determining eligibility for welfare benefits, all income received by members of a family unit must be considered.","[""Bowen v. Gilliard""]",,0,Refuted
"Evidence that could potentially prove a defendant's innocence may be excluded if it was not obtained or preserved according to established rules, even if its exclusion impacts the defendant's right to a fair trial.","[""Arizona v. Youngblood"", ""Chambers v. Mississippi"", ""Illinois v. Fisher""]",,0,Refuted
"Coverage entities may require participants to return care costs from tortfeasor liability payments, regardless of prior asset ownership during contract formation.","[""Sereboff v. Mid Atlantic Medical Services, Inc.""]",,0,Refuted
A subordinate crime charge's requirements may only include what the dominant charge necessitates.,"[""Carter v. United States""]",,0,Refuted
Stating court-ordered confinement is excessively extensive at sentencing argument stage fulfills the condition to maintain appellate reassessment eligibility without technical jargon.,"[""Holguin-Hernandez v. United States""]",,1,Supported
Those facing criminal proceedings are guaranteed a legal advocate unburdened by divided loyalties. Courts must prohibit shared representation of several co-accused individuals where such coordination risks impairing fair legal outcomes for any participant.,"[""Glasser v. United States"", ""Holloway v. Arkansas"", ""Wheat v. United States""]",,0,Refuted
"When the government relies on personally submitted details to confirm illegalities in court proceedings, any statutory shield cannot prevent those details from shaping liability.","[""Albertson v. Subversive Activities Control Board""]",,1,Supported
"Under constitutional provisions, administrative bodies must not promote any particular belief tied to a faith in settings open to citizens.","[""Van Orden v. Perry""]",,0,Refuted
"The government may freeze assets believed to be connected to criminal activity based on probable cause established by a grand jury, without providing a pretrial hearing to challenge the basis of that probable cause.","[""Kaley v. United States""]",,0,Refuted
"The Supreme Court determined that the anxiety, confusion, and haste experienced by Whren and Brown during the traffic stop did outweigh the government's interest in traffic safety, rendering the stop and subsequent search an unreasonable violation of the Fourth Amendment.","[""Whren v. United States""]",,0,Refuted
Custodial facilities must not prevent detained individuals from establishing a legally recognized partnership unless officials can demonstrate a direct causal link connecting the partnership to a specific operational threat.,"[""Turner v. Safley""]",,0,Refuted
"The exemption from federal civil liability for property retention applies universally to all personnel engaged in custody, irrespective of specific duties involving revenue collection or border security.","[""Ali v. Federal Bureau of Prisons""]",,1,Supported
Judicial intervention is typically unwarranted for measures taken to prevent disorder in detention settings.,"[""Bell v. Wolfish""]",,1,Supported
Government has authority to limit expressive conduct in spaces where air travelers board and disembark aircraft.,"[""International Society for Krishna Consciousness, Inc. v. Lee""]",,0,Refuted
"When two federal laws address the same issue, courts should interpret them to work together unless Congress explicitly states otherwise.","[""Pom Wonderful, LLC v. The Coca-Cola Company""]",,1,Supported
"To qualify for federal sentence enhancements, an offense's behavior must be purposeful and generate grave peril to bodily integrity.","[""Chambers v. United States"", ""James v. United States""]",,1,Supported
"Where filing occurs after a mandated statutory period, evidence of tardiness provides grounds for dismissal of claims.","[""SCA Hygiene Products Aktiebolag v. First Quality Baby Products""]",,0,Refuted
Savings reserved for personal financial stability after career termination are the only assets shielded from debt collection during court-managed insolvency.,"[""Clark v. Rameker""]",,1,Supported
Work presenting intimate acts that shock state-specific decency norms is constitutionally unprotected.,"[""Miller v. California""]",,1,Supported
"Legislation targeting expressive content based on demographic criteria such as ethnic background, belief systems, and similar attributes is unconstitutional.","[""R.A.V. v. City of St. Paul""]",,1,Supported
Federal lawmakers impose workplace standards on public-sector business operations to maintain market parity and reduce industrial conflicts.,"[""Maryland v. Wirtz""]",,1,Supported
Government entities must initiate court cases when blocking public assembly permissions to preserve constitutional protections for speech.,"[""Thomas v. Chicago Park District""]",,0,Refuted
"When safety and procedural consistency require it, those overseeing incarcerated individuals can limit the reading of written texts.","[""Thornburgh v. Abbott""]",,0,Refuted
"Congressional legislation permits state imposition of excise charges on off-reservation gasoline sales, overriding Indigenous sovereignty concerns.","[""Wagnon v. Prairie Band Potawatomi Nation""]",,1,Supported
"Implementing land-use regulations to confine sexually oriented businesses to designated areas allows cities to address safety concerns and property value loss, all while staying within constitutional expression rights.","[""City of Renton v. Playtime Theatres, Inc."", ""Young v. American Mini Theatres, Inc.""]",,1,Supported
Prosecutions for concealing the source of unlawful wealth must demonstrate net earnings after operational costs.,"[""United States v. Santos""]",,1,Supported
"Whether employment conditions violate anti-discrimination legislation is determined by the intensity of behaviors and objective professional standards, not the employee's emotional reactions or adverse effects.","[""Clark County School District v. Breeden"", ""Harris v. Forklift Systems, Inc.""]",,0,Refuted
The Constitution prevents states from taxing federal operations.,"[""United States v. Tax Commission of Mississippi""]",,1,Supported
Public sector entities may inspect staff communications on issued tools when aligned with essential service obligations.,"[""City of Ontario v. Quon""]",,1,Supported
Antitrust laws apply to all businesses and organizations that affect market competition.,"[""National Collegiate Athletic Association v. Alston""]",,1,Supported
Authorities may temporarily confine and inspect individuals for instruments capable of inflicting harm when suspicion of unlawful behavior is objectively warranted and risk to officer protection is perceived.,"[""Terry v. Ohio""]",,0,Refuted
Judicial proceeding defects that typically bypass prejudice analysis require defendants to demonstrate harm when challenges stem from defense counsel ineffectiveness.,"[""Weaver v. Massachusetts""]",,1,Supported
Law enforcement may interrogate an individual without providing legal counsel after a fourteen-day interval following release from custody related to the alleged offense.,"[""Maryland v. Shatzer""]",Fellers v. United States,2,Overruled
State governments must comply with federal court orders that enforce constitutional rights.,"[""Cooper v. Aaron""]",,1,Supported
The government cannot condition the right to hold public office on relinquishing religious beliefs or status as a member of the clergy.,"[""McDaniel v. Paty""]",,0,Refuted
"The Seventh Amendment to the Constitution requires a jury to determine the amount of statutory damages in copyright cases, even if the relevant statute does not explicitly mention a right to a jury trial.","[""Feltner v. Columbia Pictures Television, Inc.""]",,0,Refuted
"For certified plaintiff groups pursuing private resolution, judicial evaluation of legal proceeding hurdles is unnecessary.","[""Amchem Products, Inc. v. Windsor""]",,1,Supported
Inquiries seeking comprehensive law enforcement history pertaining to an individual exceed permissible limits and may be refused.,"[""Department of Justice v. Reporters Committee for Freedom of the Press""]",,1,Supported
The capacity to monitor operations accurately negates claims of administrative impracticalities for fiscal systems.,"[""American Trucking Associations, Inc. v. Scheiner""]",,1,Supported
Securities fraud liability can arise from using nonpublic corporate data sourced from a blood relative without monetary exchange.,"[""Salman v. United States""]",,1,Supported
"When authorities set up specific spots to question drivers about historical misconduct, irrespective of severity, this does not inherently conflict with constitutional protections against unwarranted state interference with personal freedom.","[""Illinois v. Lidster""]",,0,Refuted
Laws can give government agencies the authority to decide whether the law applies to specific groups of people.,"[""Reynolds v. United States""]",,1,Supported
"Evidence of non-involvement in the alleged crime can bypass statutory time limits for post-conviction challenges, regardless of submission timing.","[""McQuiggin v. Perkins""]",,0,Refuted
Criminal justice statutes enforcing swift proceedings prohibit defendants from surrendering protection against unreasonable procedural delays.,"[""Barker v. Wingo"", ""Zedner v. United States""]",,1,Supported
"When state authorities confiscate assets to address harm, the process operates strictly as remediation and cannot be labeled as retribution, irrespective of loss symmetry with offense-based penalties.","[""United States v. Ursery""]",,0,Refuted
State governments are obligated to eliminate administrative rules from formerly racially divided educational systems which contribute to ongoing racial separation in modern learning environments.,"[""United States v. Fordice""]",,1,Supported
"If police were not actively and independently pursuing the evidence and would not have found it without information from a suspect's statement, any information from that suspect's statement cannot be used in court.","[""Nix v. Williams""]",,0,Refuted
"States are permitted to deny individuals with mental disabilities placement in community settings based solely on a lack of funding, even when those individuals are medically suitable for community placement and desire it.","[""Olmstead v. L. C.""]",,0,Refuted
An individual with a guilty verdict may pursue a claim under congressional statutes for molecular analysis of crime scene-based materials.,"[""Skinner v. Switzer""]",,1,Supported
"A death sentence can be upheld based on a single valid aggravating factor, even if another considered factor is later found invalid.","[""Tuggle v. Netherland""]",,0,Refuted
Government rules that prohibit commercial expression by reference to message substance or sender identification are typically unconstitutional under constitutional free speech norms.,"[""Sorrell v. IMS Health Inc.""]",,0,Refuted
The entitlement to prompt judicial resolution exists solely while criminal proceedings remain active. It halts upon dismissal and resumes only when new accusations emerge.,"[""United States v. MacDonald""]",Klopfer v. North Carolina,2,Overruled
Changes to public sector employment status must not be affected by partisan loyalties or endorsements.,"[""Rutan v. Republican Party of Illinois""]",,0,Refuted
"If someone says the entire arbitration agreement is invalid, an arbitrator decides whether it should be used.","[""Rent-A-Center West, Inc. v. Jackson""]",,1,Supported
State secrecy statutes are overridden by constitutional safeguards when journalists publish data from government-held records.,"[""Cox Broadcasting Corporation v. Cohn""]",,0,Refuted
Mandatory filing intervals administered by public bodies may be extended when permitted by regulatory frameworks.,"[""Sebelius v. Auburn Regional Medical Center""]",,0,Refuted
Public financing of academic projects does not vest proprietary rights in inventions without individual contractual assignments.,"[""Board of Trustees of the Leland Stanford Junior University v. Roche Molecular Systems, Inc.""]",,1,Supported
The government must demonstrate that a false statement influenced the citizenship process to revoke citizenship.,"[""Maslenjak v. United States""]",,0,Refuted
Explanation is mandatory for penalties surpassing established benchmarks due to a presumption of irrationality.,"[""Gall v. United States""]",,0,Refuted
The law does not require proof that a person intended to fire a gun to get a longer prison sentence for firing it during a crime.,"[""Dean v. United States""]",,1,Supported
Federal law imposes harsher penalties on felons with firearm possession only if their prior offenses involved intentional harm to others.,"[""Borden v. United States""]",,1,Supported
Corporations may link payment for leaving employment before standard career endpoint age to workers' surrender of all work-related legal claims.,"[""Lockheed Corporation v. Spink""]",,0,Refuted
"Federal tax law can require bonds to be registered to qualify for tax-exempt status, and this requirement may apply differently to bonds issued by different governmental entities.","[""South Carolina v. Baker""]",,0,Refuted
Entities with no operational footprint in a jurisdiction are exempt from collecting transaction levies.,"[""South Dakota v. Wayfair, Inc.""]",,0,Refuted
"Universities possess the discretion to consider individual background attributes in the selection process for enhancing campus variety, irrespective of the existence of methods that do not take such attributes into account.","[""Fisher v. University of Texas""]",,0,Refuted
A party cannot proceed with new claims on topics previously settled or capable of settlement in earlier proceedings.,"[""Lucky Brand Dungarees Inc. v. Marcel Fashions Group Inc.""]",,1,Supported
Public authorities may conduct workspace searches without court permits for job-related reasons.,"[""O'Connor v. Ortega""]",,0,Refuted
"Constitutional protection for Congress's core operations includes elected officials and their support staff, while distribution of gathered data to external publishers falls outside the scope of protection.","[""Gravel v. United States""]",,0,Refuted
"When a statute requires every business in a market sector to employ a centralized government-sanctioned entity, constitutional guarantees of financial self-sufficiency are not undermined, despite total industry dominance and restricted private commerce autonomy.","[""Slaughter-House Cases""]",,0,Refuted
"Under constitutional protections against compelled self-incrimination, government agents have no duty to disclose to detained individuals that counsel is attempting to reach them during questioning; voluntary relinquishment of constitutional protections remains effective despite omission of this communication.","[""Moran v. Burbine""]",,0,Refuted
"State statutes governing corporate share acquisitions remain permissible despite imposing constraints on cross-state economic activity, provided the state demonstrates a significant in-state justification.","[""Edgar v. MITE Corporation""]",,0,Refuted
State entities cannot mandate that charities allocate one specific portion drawn from donations toward the organization's purpose when seeking solicitation permission.,"[""Village of Schaumburg v. Citizens for Better Environment""]",,1,Supported
"Legislation that causes a sharp decline in the availability of pregnancy termination facilities imposes serious obstacles for patients, rendering it incompatible with constitutional guarantees.","[""Whole Woman\u2019s Health v. Hellerstedt""]",Mazurek v. Armstrong,2,Overruled
"When a defendant's representative participates electronically in procedures involving guilt acknowledgment, the constitutional safeguard for practical legal assistance is violated.","[""Wright v. Van Patten""]",,0,Refuted
