claim,case_name,overruling_case,label,class
Employers can be required to pay additional damages as a penalty when they intentionally and unjustifiably fail to provide necessary support and treatment to injured workers.,"[""Atlantic Sounding Co., Inc. v. Townsend""]",,0,Refuted
The Fourth Amendment does not protect the property of nonresident aliens located in a foreign country from searches by U.S. agents.,"[""United States v. Verdugo-Urquidez""]",,0,Refuted
"Providing money, advice, and oversight to a division is sufficient to establish it as an operational part of the company's business for tax purposes, subjecting the profits from its sale to taxation in jurisdictions where the parent company does business.","[""MeadWestvaco Corp. v. Illinois Department of Revenue""]",,0,Refuted
Farmers can only sell protected seed for planting if the amount does not exceed what they need to replant their own fields.,"[""Asgrow Seed Company v. Winterboer""]",,1,Supported
"A shipowner's obligation to a seaman does not extend to covering the seaman's attorney fees, even when the shipowner wrongfully withholds maintenance and cure.","[""Vaughan v. Atkinson""]",,0,Refuted
A person can apply for a sentence reduction after a guideline change unless the court clearly stated the sentence would have been the same without the guidelines.,"[""Hughes v. United States""]",,1,Supported
"If a law's wording is clear, courts do not need to look at legislative history to understand its meaning.","[""BedRoc Limited, LLC v. United States""]",Salazar v. Buono; Woods v. Donald,2,Overruled
"If a strict reading of a law would stop it from achieving its main purpose, the law is interpreted to make that purpose possible.","[""King v. Burwell""]",Schweiker v. Chilicky,2,Overruled
Protecting attorney-client privilege even after a client's death is necessary to encourage full and honest communication between clients and their lawyers.,"[""Swidler & Berlin v. United States""]",,0,Refuted
"Selling shares to someone else doesn't affect how a company is run, so states can't regulate those sales under corporate rules.","[""Edgar v. MITE Corporation""]",,1,Supported
Employees with job security do not need a hearing before being suspended without pay if a hearing happens quickly afterward.,"[""Gilbert v. Homar""]",,1,Supported
"When a regulatory scheme comprehensively governs conduct also potentially subject to antitrust law, and allowing an antitrust claim would conflict with that regulatory scheme, antitrust claims are precluded.","[""Credit Suisse Securities (USA) LLC v. Billing"", ""FTC v. Phoebe Putney Health System""]",,0,Refuted
The First Amendment does not prohibit police from obtaining a warrant to search a newsroom if there is evidence suggesting it contains items related to criminal activity.,"[""Zurcher v. Stanford Daily""]",,0,Refuted
States cannot deny welfare to people who recently moved there to keep them from moving into the state.,"[""Shapiro v. Thompson""]",,1,Supported
"When the courtroom setup allows media to interact with the trial process, it can interfere with the right to a fair trial.","[""Sheppard v. Maxwell""]",,1,Supported
Free speech protections do not prevent a state from having jurisdiction over a libel claim when the defendant targeted their actions at that state.,"[""Calder v. Jones""]",,1,Supported
"Police cannot be held responsible for using too much force if the amount of force was reasonable, even if they committed a separate Fourth Amendment violation before.","[""County of Los Angeles v. Mendez""]",,1,Supported
Agreements to pay for the use of an invention are not enforceable beyond the expiration of the patent protecting that invention.,"[""Kimble v. Marvel""]",,0,Refuted
Courts have the authority to review and determine the applicability of penalties assessed in partnership tax audits.,"[""United States v. Woods""]",,0,Refuted
The Fair Labor Standards Act does not require employers to pay employees for time spent changing into or out of safety gear.,"[""Sandifer v. United States Steel Corporation""]",,1,Supported
The government can only ban speech that falls into a few specific categories already recognized by courts; it cannot create new categories of unprotected speech.,"[""United States v. Stevens""]",,1,Supported
"Attorney fees awarded under 42 U.S.C. § 406(b) are limited to 25% of past-due benefits only for representation in court, and do not apply to fees for representation before an agency.","[""Culbertson v. Berryhill""]",,0,Refuted
"Prohibiting religious clothing can harm military discipline and unity, and such prohibitions may be considered a violation of religious freedom.","[""Goldman v. Weinberger""]",,0,Refuted
"The rule that delays the start of the time limit until fraud is discovered does apply to government enforcement cases, and the Supreme Court considered when the government became aware of the fraud and the need to protect injured parties when deciding whether to apply it in this case.","[""Gabelli v. Securities and Exchange Commission""]",,0,Refuted
Collective bargaining agreements can require union membership without defining what 'in good standing' means in the contract.,"[""Marquez v. Screen Actors Guild, Inc.""]",,1,Supported
"Individuals have a legal right to challenge actions that infringe upon their rights, even if those actions are taken pursuant to a court order from which they were not a party.","[""Martin v. Wilks""]",,0,Refuted
Police can testify about conversations they heard through a government informant's recording device even if the informant does not come to court.,"[""United States v. White""]",,1,Supported
"Deciding how parole programs should work is up to state lawmakers, not judges.","[""Martinez v. California""]",,1,Supported
Criminal trials are not generally open to the public or press simply because members of the public or press desire access.,"[""Gannett Company, Inc. v. DePasquale"", ""Richmond Newspapers Inc. v. Virginia""]",,0,Refuted
"A final hearing must happen within two months of being arrested for the violation, where the person can present evidence and argue their case.","[""Morrissey v. Brewer""]",,1,Supported
"Prisoners have a constitutional right to adequate legal assistance, and providing only a law library is not always sufficient to fulfill this right.","[""Bounds v. Smith""]",,0,Refuted
Government agencies must clearly explain any changes to how they understand a law.,"[""Encino Motorcars v. Navarro""]",,1,Supported
"A regulation that contradicts the law's text is invalid, even if it has been used for many years.","[""Brown v. Gardner""]",,1,Supported
States cannot create their own penalties for working without permission.,"[""Arizona v. United States""]",,1,Supported
The Voting Rights Act includes judges in the category of 'representatives' it protects.,"[""Chisom v. Roemer""]",,1,Supported
"Police can prevent a cell phone from being remotely erased while getting a warrant, but they cannot search it without a warrant.","[""Riley v. California""]",,1,Supported
"A claim of actual innocence can overcome procedural default in state court, even in non-capital cases.","[""Dretke v. Haley""]",,0,Refuted
"A person sued in a counterclaim cannot move the case to federal court, even if they were the original plaintiff.","[""Home Depot U.S.A., Inc. v. Jackson""]",,1,Supported
"When multiple people are in a car and drugs are found, police can arrest any occupant if the circumstances support a reasonable belief they were involved in having the drugs.","[""Maryland v. Pringle""]",,1,Supported
The expense of pursuing an individual arbitration claim does not make an arbitration clause invalid.,"[""American Express Co., et al. v. Italian Colors Restaurant""]",,1,Supported
Agreements among competitors to control retail prices are legally permissible.,"[""United States v. Sealy, Inc.""]",,0,Refuted
Public schools cannot display religious texts if the main goal is to encourage religious belief.,"[""McCreary County v. American Civil Liberties Union of Ky."", ""Stone v. Graham""]",,1,Supported
Prosecutors can argue that a sentencing mistake was harmless if the evidence shows the jury would have found the same facts.,"[""Washington v. Recuenco""]",Descamps v. United States,2,Overruled
Public schools cannot hold religious classes during school hours on school property.,"[""Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County""]",,1,Supported
Bankruptcy deadlines are not rules that courts must enforce no matter when they are raised; they can be waived if not raised early.,"[""Kontrick v. Ryan""]",,1,Supported
Federal anti-racketeering laws can be used to sue health insurers for fraud even if state insurance laws also prohibit the same conduct.,"[""Humana Inc. v. Forsyth""]",,1,Supported
The government can stop grazing on certain public lands to keep them healthy.,"[""Public Lands Council v. Babbitt""]",,1,Supported
State governments cannot enforce their laws on Indian reservation land without Congress's approval.,"[""California v. Cabazon Band of Mission Indians""]",,1,Supported
Government-provided services to a private business can make its racial discrimination unconstitutional.,"[""Burton v. Wilmington Parking Authority""]",,1,Supported
The Court of Federal Claims can hear lawsuits by tribes seeking money damages for failing to protect trust land that the government uses.,"[""United States v. White Mt. Apache Tribe""]",,1,Supported
"When determining employment status for tax purposes, courts do not exclusively apply common law definitions of employment and may consider industry-specific practices.","[""United States v. W. M. Webb, Inc.""]",,0,Refuted
"The Federal Tort Claims Act does not cover lawsuits for actions that happen outside the United States, even if the actions were planned in the U.S.","[""Sosa v. Alvarez-Machain""]",,1,Supported
"A healthcare provider is permitted to refuse to provide routine care to a patient based solely on their HIV-positive status, without requiring objective evidence of a direct threat to the health or safety of the provider or others.","[""Bragdon v. Abbott""]",,0,Refuted
A patent challenge deadline triggered by service of a complaint is not paused by a voluntary dismissal of the infringement lawsuit without prejudice.,"[""Thryv, Inc. v. Click-To-Call Technologies, LP""]",,0,Refuted
The government can stop Social Security benefits for someone who is deported without it being against the Constitution.,"[""Flemming v. Nestor""]",,1,Supported
Political parties have a constitutional right to choose their own candidates for public office and to decide who may participate in their candidate selection process.,"[""California Democratic Party v. Jones""]",,0,Refuted
"Federal law enforcement officers are always required to obtain a warrant before making an arrest, even when they have probable cause and a federal statute allows a warrantless arrest.","[""United States v. Watson""]",,0,Refuted
Advertising income for nonprofits is taxable when the ads are not part of the organization's educational mission.,"[""United States v. American College of Physicians""]",,1,Supported
Statements that say something will happen only if a condition is met are not treated as true threats because they depend on future events.,"[""Watts v. United States""]",,1,Supported
A witness subject to a civil contempt citation may challenge the court's subject matter jurisdiction over the underlying case.,"[""United States Catholic Conference v. Abortion Rights Mobilization, Inc.""]",,0,Refuted
"Racial discrimination is not allowed in public facilities, even if private groups manage them.","[""Evans v. Newton"", ""Plessy v. Ferguson""]",,1,Supported
"When determining eligibility for welfare benefits, all income received by members of a family unit must be considered.","[""Bowen v. Gilliard""]",,0,Refuted
"Evidence that could potentially prove a defendant's innocence may be excluded if it was not obtained or preserved according to established rules, even if its exclusion impacts the defendant's right to a fair trial.","[""Arizona v. Youngblood"", ""Chambers v. Mississippi"", ""Illinois v. Fisher""]",,0,Refuted
"Health insurance plans may require beneficiaries to reimburse the plan for medical expenses from funds received from a third party responsible for the injury, even if the beneficiary did not possess those funds at the time of the initial agreement.","[""Sereboff v. Mid Atlantic Medical Services, Inc.""]",,0,Refuted
A lesser included offense must not require proof of any element that is not required by the greater offense.,"[""Carter v. United States""]",,0,Refuted
Arguing that a sentence is too long during sentencing is enough to preserve the right to appeal the sentence's length without using legal terms.,"[""Holguin-Hernandez v. United States""]",,1,Supported
"A defendant has the right to counsel free from conflicts of interest, and a court should not appoint counsel to represent multiple defendants when doing so would compromise the representation of any defendant.","[""Glasser v. United States"", ""Holloway v. Arkansas"", ""Wheat v. United States""]",,0,Refuted
"If a law's immunity provision allows registration information to be used as evidence in a criminal case, it does not protect against self-incrimination.","[""Albertson v. Subversive Activities Control Board""]",,1,Supported
The Constitution requires the government to avoid endorsing a specific religious doctrine in public spaces.,"[""Van Orden v. Perry""]",,0,Refuted
"The government may freeze assets believed to be connected to criminal activity based on probable cause established by a grand jury, without providing a pretrial hearing to challenge the basis of that probable cause.","[""Kaley v. United States""]",,0,Refuted
"The Supreme Court determined that the anxiety, confusion, and haste experienced by Whren and Brown during the traffic stop did outweigh the government's interest in traffic safety, rendering the stop and subsequent search an unreasonable violation of the Fourth Amendment.","[""Whren v. United States""]",,0,Refuted
Prisons may not prohibit inmates from marrying based on general security concerns without demonstrating a direct connection between the marriage and a specific safety risk.,"[""Turner v. Safley""]",,0,Refuted
"The phrase 'any other law enforcement officer' in the Federal Tort Claims Act includes all officers who detain property, not just those working in customs or tax roles.","[""Ali v. Federal Bureau of Prisons""]",,1,Supported
Courts generally do not review jail decisions made to protect facility security.,"[""Bell v. Wolfish""]",,1,Supported
The government may restrict speech within the confines of airport terminals.,"[""International Society for Krishna Consciousness, Inc. v. Lee""]",,0,Refuted
"When two federal laws address the same issue, courts should interpret them to work together unless Congress explicitly states otherwise.","[""Pom Wonderful, LLC v. The Coca-Cola Company""]",,1,Supported
"To be considered a 'crime of violence' under federal law, a crime must involve active behavior that creates a serious risk of physical injury.","[""Chambers v. United States"", ""James v. United States""]",,1,Supported
"If there's a legal deadline for filing a lawsuit, the defense that the plaintiff waited too long can be used to stop the case.","[""SCA Hygiene Products Aktiebolag v. First Quality Baby Products""]",,0,Refuted
Only retirement funds set aside for the owner's own retirement can be protected from creditors in bankruptcy.,"[""Clark v. Rameker""]",,1,Supported
Material must show sexual conduct in a way that's clearly offensive according to state law to be classified as obscene.,"[""Miller v. California""]",,1,Supported
Laws cannot prohibit hate speech only when it targets specific groups like race or religion.,"[""R.A.V. v. City of St. Paul""]",,1,Supported
Congress can regulate state government employment in commercial activities to prevent unfair competition and labor disputes.,"[""Maryland v. Wirtz""]",,1,Supported
Government agencies are legally required to initiate legal action whenever they deny a permit for an event to protect First Amendment rights.,"[""Thomas v. Chicago Park District""]",,0,Refuted
Prison officials have the authority to restrict access to reading materials if they believe it is necessary to maintain prison security and order.,"[""Thornburgh v. Abbott""]",,0,Refuted
Federal law permits states to tax fuel transactions that occur outside tribal lands without tribal interference.,"[""Wagnon v. Prairie Band Potawatomi Nation""]",,1,Supported
"Cities can pass zoning laws that restrict adult businesses to certain areas to prevent issues like crime and declining property values, without violating free speech protections.","[""City of Renton v. Playtime Theatres, Inc."", ""Young v. American Mini Theatres, Inc.""]",,1,Supported
Federal money laundering charges require that the money involved must be the profit from the illegal activity after subtracting expenses.,"[""United States v. Santos""]",,1,Supported
"Determining a hostile work environment under Title VII primarily focuses on the severity of the conduct and whether a reasonable person would find it abusive, not on the victim's subjective psychological state or resulting harm.","[""Clark County School District v. Breeden"", ""Harris v. Forklift Systems, Inc.""]",,0,Refuted
The Constitution prevents states from taxing federal operations.,"[""United States v. Tax Commission of Mississippi""]",,1,Supported
Government employers can search employee communications on work devices if the search is for a legitimate work-related purpose.,"[""City of Ontario v. Quon""]",,1,Supported
Antitrust laws apply to all businesses and organizations that affect market competition.,"[""National Collegiate Athletic Association v. Alston""]",,1,Supported
Police officers are permitted to briefly detain and search a person for weapons based on reasonable suspicion of criminal activity and a belief that the person poses a threat to safety.,"[""Terry v. Ohio""]",,0,Refuted
Trial errors that are so severe they normally require a new trial without proving harm do not automatically lead to a new trial if the error was raised as part of a claim about the lawyer's performance.,"[""Weaver v. Massachusetts""]",,1,Supported
Police do not need to provide a lawyer when questioning someone after two weeks without being held for the crime.,"[""Maryland v. Shatzer""]",Fellers v. United States,2,Overruled
State governments must comply with federal court orders that enforce constitutional rights.,"[""Cooper v. Aaron""]",,1,Supported
The government cannot condition the right to hold public office on relinquishing religious beliefs or status as a member of the clergy.,"[""McDaniel v. Paty""]",,0,Refuted
"The Seventh Amendment to the Constitution requires a jury to determine the amount of statutory damages in copyright cases, even if the relevant statute does not explicitly mention a right to a jury trial.","[""Feltner v. Columbia Pictures Television, Inc.""]",,0,Refuted
Courts do not need to evaluate how challenging it would be to manage a trial when certifying a class solely for settlement.,"[""Amchem Products, Inc. v. Windsor""]",,1,Supported
Requests for all criminal records on a person are too broad and can be denied.,"[""Department of Justice v. Reporters Committee for Freedom of the Press""]",,1,Supported
States cannot claim it's too difficult to administer a tax if they can track usage accurately.,"[""American Trucking Associations, Inc. v. Scheiner""]",,1,Supported
A person can be convicted of insider trading for trading on information received from a family member even if no money changed hands.,"[""Salman v. United States""]",,1,Supported
"Checkpoints established solely to investigate a past crime, even a serious one, do not automatically violate the Fourth Amendment's protection against unreasonable searches and seizures.","[""Illinois v. Lidster""]",,0,Refuted
Laws can give government agencies the authority to decide whether the law applies to specific groups of people.,"[""Reynolds v. United States""]",,1,Supported
"A claim of actual innocence can overcome procedural bars to legal challenges, even if the claim was not filed promptly.","[""McQuiggin v. Perkins""]",,0,Refuted
Defendants cannot give up their right to a speedy trial under the Speedy Trial Act.,"[""Barker v. Wingo"", ""Zedner v. United States""]",,1,Supported
"Civil property forfeitures are not considered a criminal punishment, even if they result in a similar deprivation of property as a criminal penalty.","[""United States v. Ursery""]",,0,Refuted
States must remove policies from past segregated school systems that still cause racial separation in schools today.,"[""United States v. Fordice""]",,1,Supported
"If police were not actively and independently pursuing the evidence and would not have found it without information from a suspect's statement, any information from that suspect's statement cannot be used in court.","[""Nix v. Williams""]",,0,Refuted
"States are permitted to deny individuals with mental disabilities placement in community settings based solely on a lack of funding, even when those individuals are medically suitable for community placement and desire it.","[""Olmstead v. L. C.""]",,0,Refuted
A convicted person can file a federal civil rights lawsuit to ask for DNA testing of evidence.,"[""Skinner v. Switzer""]",,1,Supported
"A death sentence can be upheld based on a single valid aggravating factor, even if another considered factor is later found invalid.","[""Tuggle v. Netherland""]",,0,Refuted
Laws restricting the use of data for advertising based on the content of the message or the identity of the speaker are generally unconstitutional.,"[""Sorrell v. IMS Health Inc.""]",,0,Refuted
"The right to a speedy trial only applies when a person is charged with a crime and the case is ongoing. If charges are dropped, the right no longer applies until new charges are filed.","[""United States v. MacDonald""]",Klopfer v. North Carolina,2,Overruled
"Government employers may not base employment decisions, such as hiring, promotion, or reinstatement, on political affiliation or support.","[""Rutan v. Republican Party of Illinois""]",,0,Refuted
"If someone says the entire arbitration agreement is invalid, an arbitrator decides whether it should be used.","[""Rent-A-Center West, Inc. v. Jackson""]",,1,Supported
"The First Amendment protects the media's right to report information found in public records, even if doing so conflicts with state laws intended to protect individual privacy.","[""Cox Broadcasting Corporation v. Cohn""]",,0,Refuted
Administrative deadlines set by government agencies can be extended if permitted by agency regulation.,"[""Sebelius v. Auburn Regional Medical Center""]",,0,Refuted
Federal funding for research does not automatically make the university the owner of the resulting patents.,"[""Board of Trustees of the Leland Stanford Junior University v. Roche Molecular Systems, Inc.""]",,1,Supported
The government must demonstrate that a false statement influenced the citizenship process to revoke citizenship.,"[""Maslenjak v. United States""]",,0,Refuted
Sentences outside of federal sentencing guideline ranges are presumed unreasonable and require justification.,"[""Gall v. United States""]",,0,Refuted
The law does not require proof that a person intended to fire a gun to get a longer prison sentence for firing it during a crime.,"[""Dean v. United States""]",,1,Supported
The Armed Career Criminal Act's 'use of force' clause only applies to crimes where the person intentionally uses physical force against another person.,"[""Borden v. United States""]",,1,Supported
Businesses may condition early retirement benefits on an employee's waiver of the right to sue for job-related claims.,"[""Lockheed Corporation v. Spink""]",,0,Refuted
"Federal tax law can require bonds to be registered to qualify for tax-exempt status, and this requirement may apply differently to bonds issued by different governmental entities.","[""South Carolina v. Baker""]",,0,Refuted
Sellers are not required to collect sales tax in a state where they do not have a physical presence.,"[""South Dakota v. Wayfair, Inc.""]",,0,Refuted
"Colleges can consider race in admissions to achieve diversity, even if race-neutral alternatives exist.","[""Fisher v. University of Texas""]",,0,Refuted
The law prevents someone from suing again for the same problem that was already decided or could have been decided before.,"[""Lucky Brand Dungarees Inc. v. Marcel Fashions Group Inc.""]",,1,Supported
Government employers are not always required to obtain a warrant before searching an employee's workplace.,"[""O'Connor v. Ortega""]",,0,Refuted
"The Speech and Debate Clause protects legislative activities and the work of legislative staff directly assisting in those activities, but does not extend to private publication of information obtained through the legislative process.","[""Gravel v. United States""]",,0,Refuted
"A law requiring all businesses in a trade to use a single, state-authorized entity does not violate the right to earn a living, even if it creates a monopoly and limits independent economic options.","[""Slaughter-House Cases""]",,0,Refuted
"The Fifth Amendment does not require police to inform a suspect during questioning that an attorney is attempting to contact them, and a suspect's waiver of rights is not automatically invalidated by a failure to provide such information.","[""Moran v. Burbine""]",,0,Refuted
"State laws regulating stock takeovers are permissible even if they restrict interstate commerce, as long as the state demonstrates a substantial local interest justifying those restrictions.","[""Edgar v. MITE Corporation""]",,0,Refuted
Governments cannot require charities to spend a specific percentage of donations on their cause to get permission to ask for money.,"[""Village of Schaumburg v. Citizens for Better Environment""]",,1,Supported
"If a law causes many abortion clinics to close and makes it very hard for women to get abortions, it is not permitted.","[""Whole Woman\u2019s Health v. Hellerstedt""]",Mazurek v. Armstrong,2,Overruled
"A client's lawyer being remotely located during a critical stage of a criminal proceeding, such as a plea hearing, always violates the client's Sixth Amendment right to counsel.","[""Wright v. Van Patten""]",,0,Refuted
Rules that don't stop a large risk of convicting innocent people don't apply to past cases.,"[""Whorton v. Bockting""]",Montgomery v. Louisiana,2,Overruled
A general complaint about an issue affecting everyone usually does not allow someone to sue unless they have a unique injury.,"[""First American Financial Corp. v. Edwards""]",,1,Supported
False or highly inflammatory media reports about a defendant can make a trial unfair.,"[""Sheppard v. Maxwell""]",,1,Supported
The law permits prisoners to request evidence about judicial corruption when they explain how it could have made their trial unfair.,"[""Bracy v. Gramley""]",,1,Supported
"You can sue the government if your issue is related to the law's purpose, even if the law wasn't made for people like you.","[""Match-E-Be-Nash-She-Wish Band v. Patchak""]","Department of the Army v. Blue Fox, Inc.; Schweiker v. Chilicky",2,Overruled
Potential jurors can be treated differently based on gender during jury selection.,"[""J.E.B. v. Alabama ex rel T.B.""]",,0,Refuted
Financial difficulties within a part of a transportation system do not justify federal regulation of state-determined prices.,"[""Chicago, Milwaukee, St. Paul & Pacific Railroad Company v. Illinois""]",,0,Refuted
"ERISA Section 510 protects employees from interference with rights under a plan, even if those rights are not yet vested.","[""Inter-Modal Rail Employees Assn. v. Atchison, Topeka & Santa Fe Railway Company""]",,0,Refuted
A lawyer participating in court via speakerphone does not automatically violate a client's right to counsel.,"[""Wright v. Van Patten""]",,1,Supported
A prisoner does not need to prove special circumstances to challenge unlawfully seized evidence in a post-conviction motion.,"[""Kaufman v. United States""]",,1,Supported
"If you weren't part of the lawsuit from the beginning, you must ask the court to let you join before you can appeal.","[""California Public Employees' Retirement System v. Felzen""]",,1,Supported
