name,docket,claim
Branzburg v. Hayes,70-85,A reporter's promise to keep a source secret does not give them legal protection from testifying in court.
Branzburg v. Hayes,70-85,The First Amendment does not provide special protection for journalists to withhold information from grand juries.
Kirby v. Illinois,70-5061,"Before someone is charged with a crime, the law does not require police to tell them they can have a lawyer during a witness identification."
Kirby v. Illinois,70-5061,Witness identifications made before a person is charged can be used in court even if the person did not have a lawyer present during the identification.
Wisconsin v. Yoder,70-110,The government cannot require people to act against their religious beliefs unless there is a very important reason that cannot be solved in any other way.
Wisconsin v. Yoder,70-110,Laws that interfere with religious practices must be necessary for a critical public interest and have no simpler alternative to achieve the same goal.
Wisconsin v. Yoder,70-110,"If a law forces people to choose between obeying the law and following their religion, the government must prove it is essential for protecting a major public interest with no other option."
Board of Regents of State Colleges v. Roth,71-162,Government employers do not have to explain why they are not rehiring someone after a fixed-term contract ends.
Board of Regents of State Colleges v. Roth,71-162,The Constitution requires government to provide a hearing and reasons only when a person has a legal right to stay in their job beyond their current contract.
Board of Regents of State Colleges v. Roth,71-162,People with fixed-term contracts do not have a legal right to keep working after the contract expires.
Board of Regents of State Colleges v. Roth,71-162,Government employers do not need to hold a hearing before ending a job that was only for a specific time.
United States v. Mississippi Chemical Corporation,70-52,Purchasing any asset that retains value over time cannot be deducted as an interest expense.
United States v. Mississippi Chemical Corporation,70-52,"Interest deductions apply only to the cost of borrowing money, not to buying assets."
Santobello v. New York,70-98,Prosecutors must honor plea agreements even if they are replaced by a different prosecutor.
Santobello v. New York,70-98,"If a plea deal is broken, the court can either make the prosecution follow the original terms or let the defendant go to trial."
Santobello v. New York,70-98,The law requires that plea agreements are kept to ensure fairness in criminal cases.
Morrissey v. Brewer,71-5103,"Before revoking someone's parole, the government must hold a hearing to check if there's enough reason to believe they broke the rules."
Morrissey v. Brewer,71-5103,"A final hearing must happen within two months of being arrested for the violation, where the person can present evidence and argue their case."
Morrissey v. Brewer,71-5103,The person must be given written notice of the specific charges and all evidence the government plans to use against them before the hearing.
Morrissey v. Brewer,71-5103,The person has the right to ask questions of anyone who testifies against them during the hearing.
Morrissey v. Brewer,71-5103,The official making the decision must not have been involved in the original case and must be neutral.
Morrissey v. Brewer,71-5103,The decision to revoke parole must be written and explain the reasons based on the hearing.
Morrissey v. Brewer,71-5103,The government is not required to provide a lawyer for someone who cannot afford one during parole revocation proceedings.
Younger v. Gilmore,70-9,States must provide prison inmates with law books or legal assistance to allow them to file lawsuits about their sentences or prison conditions.
Younger v. Gilmore,70-9,"If a prison uses a law library, it must have enough books for inmates to properly prepare their court cases."
Gravel v. United States,71-1017,Legislative aides cannot be forced to testify about their work related to official legislative duties when the legislator invokes the Speech and Debate Clause protection.
Gravel v. United States,71-1017,The Speech and Debate Clause only covers actions taken as part of the legislative process and does not protect private activities outside of that scope.
Adams v. Williams,70-283,"Police officers can check a person for weapons if they have a good reason to think the person is armed, even if that reason comes from someone else's tip."
Adams v. Williams,70-283,"If police find a gun during a safety check, they can arrest the person for illegal gun possession."
Adams v. Williams,70-283,Police can search a vehicle without a warrant when they arrest someone inside it.
"Lloyd Corporation, Ltd. v. Tanner",71-492,Private property owners can restrict speech on their property because the First Amendment only applies to government actions.
"Lloyd Corporation, Ltd. v. Tanner",71-492,"The First Amendment does not protect speech on private property, even if the property is open to the public."
"Lloyd Corporation, Ltd. v. Tanner",71-492,Private property is not considered a public forum for First Amendment purposes.
Police Department of the City of Chicago v. Mosley,70-87,Laws that treat different kinds of speech differently based on what they say are generally unconstitutional.
Police Department of the City of Chicago v. Mosley,70-87,"If a law allows some protests in a public area but bans others, it must be the smallest possible restriction that still meets an important government need."
Police Department of the City of Chicago v. Mosley,70-87,The government cannot make exceptions for certain types of speech in public spaces without a very strong reason.
Police Department of the City of Chicago v. Mosley,70-87,Regulations that pick and choose which messages are allowed in public areas must be necessary to serve a significant government purpose.
Chevron Oil Company v. Huson,70-11,"When federal law uses state laws, the state's time limits for lawsuits are valid and don't conflict with federal laws for cases involving the sea."
Chevron Oil Company v. Huson,70-11,Courts cannot apply new legal rules retroactively if doing so would unfairly prevent someone from filing a lawsuit because they couldn't have known about the change.
Flood v. Kuhn,71-32,Federal antitrust laws do not apply to professional baseball.
Flood v. Kuhn,71-32,State antitrust laws do not apply to professional baseball.
Flood v. Kuhn,71-32,"Congress could change the law to make antitrust rules apply to baseball, but it has not done so."
Flood v. Kuhn,71-32,Baseball teams can prevent players from joining other teams after their contract ends without violating antitrust laws.
Gelbard v. United States,71-110,"If a wiretap was illegal under federal law, a witness can refuse to testify about it and cannot be held in contempt for that refusal."
Gelbard v. United States,71-110,Federal law prohibits using evidence obtained through illegal wiretaps in any court proceeding.
Gelbard v. United States,71-110,The government cannot force a person to discuss conversations that were illegally wiretapped.
Gelbard v. United States,71-110,A witness does not need court approval before refusing to talk about illegal wiretaps; they can refuse and later raise the illegality as a defense.
Haines v. Kerner,70-5025,"When deciding if a lawsuit should be dismissed, courts only look at what's written in the complaint, not any extra evidence."
Haines v. Kerner,70-5025,"A lawsuit can only be dismissed if the complaint doesn't include facts that, if true, would make the plaintiff's claim valid."
Haines v. Kerner,70-5025,Courts must treat all facts in a complaint as true when checking if the case can move forward.
Haines v. Kerner,70-5025,Plaintiffs don't need to prove their case with evidence before a court decides if the lawsuit can proceed.
Kastigar v. United States,70-117,"If the government promises not to use a witness's testimony or any evidence found because of it in a criminal case against that person, the witness must testify."
Kastigar v. United States,70-117,The Fifth Amendment right to stay silent does not protect a witness from being forced to testify when the government has provided immunity that covers both the testimony and any evidence found because of it.
"D. H. Overmyer Company, Inc., of Ohio v. Frick",69-5,You can sign a contract that gives up your right to be notified before a court judgment is made against you.
"D. H. Overmyer Company, Inc., of Ohio v. Frick",69-5,This agreement is only valid if you knew what you were giving up when you signed it.
"D. H. Overmyer Company, Inc., of Ohio v. Frick",69-5,Courts can enforce such an agreement if you understood the consequences when you signed.
Barker v. Wingo,71-5255,A person charged with a crime can lose their right to a speedy trial by not objecting to delays in their case.
Barker v. Wingo,71-5255,"Courts check four things when deciding if a trial delay violated the right to a speedy trial: how long the delay was, why it happened, whether the defendant tried to stop the delay, and if the delay harmed the defendant."
Barker v. Wingo,71-5255,There is no fixed time limit for a speedy trial; each case is judged based on its own facts.
Barker v. Wingo,71-5255,"The right to a speedy trial exists to help the justice system run smoothly for the public, not just to protect the person accused."
Dunn v. Blumstein,70-13,States cannot make new residents wait before voting.
Dunn v. Blumstein,70-13,Counties cannot make new residents wait before voting.
United States v. Generes,70-28,"To deduct a bad debt as business-related for tax purposes, the taxpayer's main reason for making the loan must be directly tied to their job or business activities."
United States v. Generes,70-28,"If a person's main reason for a loan is personal (such as protecting their own financial interest), the loss is treated as a nonbusiness bad debt and cannot be deducted as a business expense."
United States v. Generes,70-28,Tax law requires that the main reason for a debt must be business-related to qualify for business bad debt deductions.
United States v. Generes,70-28,Being an employee or shareholder of a company does not automatically allow corporate losses to be claimed as business bad debt; the key factor is the taxpayer's main reason for the loan.
Sierra Club v. Morton,70-34,"To sue under the Administrative Procedure Act, a plaintiff must show they or their members have been directly harmed by the government action."
Sierra Club v. Morton,70-34,General concerns about environmental damage alone do not count as legal injury for standing purposes.
Sierra Club v. Morton,70-34,Environmental organizations cannot sue to protect nature unless they prove their own members face direct harm from the action.
United States v. United States District Court for the Eastern District of Michigan,70-153,Government officials need a court order before secretly recording private conversations with electronic devices.
United States v. United States District Court for the Eastern District of Michigan,70-153,National security issues do not excuse the need for a court order when conducting electronic surveillance.
United States v. United States District Court for the Eastern District of Michigan,70-153,The law does not allow the government to listen in on private conversations without a court order.
Murel v. Baltimore City Criminal Court,70-5276,"When the Supreme Court dismisses a case without deciding the questions raised, the lower court's decision remains in effect."
Murel v. Baltimore City Criminal Court,70-5276,"If a state changes its laws before the Supreme Court rules on a case, the Court may choose not to review challenges to the previous version of the law."
Murel v. Baltimore City Criminal Court,70-5276,Constitutional challenges must be clearly presented for the Supreme Court to consider them.
Perry v. Sindermann,70-36,"Government employers cannot fire public employees for exercising their right to free speech, even if the employee does not have a formal job contract."
Perry v. Sindermann,70-36,Employees who have a reasonable expectation of continued employment based on workplace policies or practices must be given a hearing before being terminated.
Perry v. Sindermann,70-36,"When a public employee claims their termination was due to protected speech, the law requires a trial to determine the facts of the case."
Schneckloth v. Bustamonte,71-732,A person's consent to a police search is valid even if they didn't know they could refuse.
Schneckloth v. Bustamonte,71-732,Police do not need to inform someone of their right to refuse consent for the search to be legal.
Schneckloth v. Bustamonte,71-732,The law determines if consent was voluntary by looking at all the facts of the situation.
"Keyes v. School District No. 1, Denver, Colorado",71-507,Public schools cannot intentionally separate students by race; this violates the Constitution.
"Keyes v. School District No. 1, Denver, Colorado",71-507,"If a school district has segregated schools, the district must prove the segregation was not intentional for the entire system."
"Keyes v. School District No. 1, Denver, Colorado",71-507,School districts must show that any racial segregation in their schools wasn't part of a deliberate plan for the whole district.
Frontiero v. Richardson,71-1694,The government cannot treat men and women differently for the same benefit without a strong reason.
Frontiero v. Richardson,71-1694,The government can't treat men and women differently just because it's easier for them to manage the rules.
Frontiero v. Richardson,71-1694,A government benefit cannot require one gender to prove something that the other gender does not.
Frontiero v. Richardson,71-1694,Gender-based differences in government rules must have a strong justification.
Mahan v. Howell,71-364,"States must try to make districts as equal in population as possible, but some variation is allowed for valid reasons."
Mahan v. Howell,71-364,U.S. congressional districts must have more equal populations than state legislative districts.
Mahan v. Howell,71-364,"When drawing district lines, states can prioritize keeping communities together or geographic features, even if it causes population differences."
Mahan v. Howell,71-364,State legislative districts can have population differences as long as they are based on legitimate reasons.
United States v. Ash,71-1255,The Sixth Amendment does not require a defendant's attorney to be present during police photo identifications before trial.
United States v. Ash,71-1255,"In-person police lineups require a lawyer's presence, but photo identifications do not."
Neil v. Biggers,71-586,A person can file for habeas corpus even if the U.S. Supreme Court was split evenly on their case.
Neil v. Biggers,71-586,Police identification procedures that are too suggestive do not violate due process if the entire situation doesn't make a mistake likely.
In re Griffiths,71-1336,States cannot require U.S. citizenship for professional licenses unless citizenship is necessary for the job.
In re Griffiths,71-1336,Non-citizens legally living in the U.S. cannot be denied professional licenses solely because they are not citizens.
In re Griffiths,71-1336,Laws that treat citizens and non-citizens differently for jobs must have a valid reason related to the job's duties.
Pittsburgh Press Company v. Pittsburgh Commission on Human Relations,72-419,The First Amendment does not protect job advertisements in newspapers from government rules that prevent gender discrimination.
Pittsburgh Press Company v. Pittsburgh Commission on Human Relations,72-419,"Laws that stop newspapers from separating job ads by gender are allowed because they only affect business-related content, not the newspaper's own opinions."
Gottschalk v. Benson,71-485,"Mathematical algorithms cannot be patented because they are basic concepts, not physical inventions."
Gottschalk v. Benson,71-485,Using a mathematical algorithm in a computer does not make it eligible for a patent if the algorithm itself is the main part.
Gottschalk v. Benson,71-485,"Patents must protect specific, real-world applications, not just theoretical ideas."
Gottschalk v. Benson,71-485,Congress must create new laws to allow patents for computer programs.
United States v. Russell,71-1585,Entrapment only happens when police convince someone to commit a crime they weren't already planning to do.
United States v. Russell,71-1585,Providing necessary items for a crime isn't entrapment if the person could have gotten those items themselves.
United States v. Russell,71-1585,The Fifth Amendment doesn't stop police from helping with a crime if the person was already going to do it.
United States v. Russell,71-1585,Police participation in a crime doesn't violate due process if the crime was already happening before police got involved.
Gagnon v. Scarpelli,71-1225,Probationers must have a hearing before their probation is revoked and they are sent back to prison.
Gagnon v. Scarpelli,71-1225,Probationers are not guaranteed a lawyer for probation revocation hearings.
Gagnon v. Scarpelli,71-1225,Courts decide whether to provide a lawyer for probation revocation hearings based on the case's specifics.
California v. LaRue,71-36,States can ban certain physical acts in businesses that sell alcohol without violating the First Amendment.
California v. LaRue,71-36,States can regulate behavior on premises where alcohol is sold as part of their authority to control alcohol sales.
California v. LaRue,71-36,Physical actions not intended as expression can be restricted in places that serve alcohol.
California v. LaRue,71-36,"Businesses that sell alcohol must follow state rules about activities on their property, and these rules do not violate the Constitution."
Committee for Public Education & Religious Liberty v. Nyquist,72-694,"Government money for maintaining religious school buildings must be restricted to secular uses only, or it violates the First Amendment."
Committee for Public Education & Religious Liberty v. Nyquist,72-694,Providing tuition assistance to parents for religious schools is unconstitutional because it supports religious education.
Committee for Public Education & Religious Liberty v. Nyquist,72-694,Tax breaks for parents who send their children to religious schools violate the Establishment Clause.
Committee for Public Education & Religious Liberty v. Nyquist,72-694,A law can have a secular purpose but still be unconstitutional if its main effect is to advance religion.
Sugarman v. Dougall,71-1222,States cannot prohibit noncitizens from government jobs unless the job requires U.S. citizenship to do the work.
Sugarman v. Dougall,71-1222,Government employers must only require citizenship for jobs where it is necessary for the job's duties.
Sugarman v. Dougall,71-1222,Laws that ban all noncitizens from government jobs without considering each job's specific needs are not allowed.
Chambers v. Mississippi,71-5908,"If someone tells another person they committed a crime, that statement can be presented in court if it is believable."
Chambers v. Mississippi,71-5908,Defendants have the right to present evidence showing another person committed the crime.
Chambers v. Mississippi,71-5908,"Courts must allow trustworthy evidence that proves innocence, even if it's usually not allowed under normal rules."
Lemon v. Kurtzman,71-1470,Paying for services completed before a law is declared unconstitutional does not violate the First Amendment's ban on government support of religion.
Lemon v. Kurtzman,71-1470,Courts may allow payments for past services to prevent financial harm to schools that relied on the law before it was struck down.
Lemon v. Kurtzman,71-1470,The government is not required to stop paying for services already provided when a law is found unconstitutional.
United States Department of Agriculture v. Moreno,72-534,"Laws that treat people differently must have a reasonable connection to the problem they aim to solve; otherwise, they are unconstitutional."
United States Department of Agriculture v. Moreno,72-534,"If a law's method for solving a problem doesn't actually work, it violates constitutional protections."
United States Department of Agriculture v. Moreno,72-534,Governments cannot deny benefits based on characteristics that don't relate to the program's goals.
United States Department of Agriculture v. Moreno,72-534,"When there are other effective ways to address a problem, a law that broadly excludes certain groups is unconstitutional."
Paris Adult Theatre I v. Slaton,71-1051,"Obscene materials are not protected by the First Amendment, even when shown to consenting adults."
Paris Adult Theatre I v. Slaton,71-1051,Governments can ban obscene materials to protect community standards and public safety.
Paris Adult Theatre I v. Slaton,71-1051,Laws against obscene materials do not require proof of specific harm to be enforced.
Paris Adult Theatre I v. Slaton,71-1051,"Whether material is considered obscene depends on local community standards, not a single national standard."
McClanahan v. Arizona State Tax Commission,71-834,Native Americans living on tribal reservations do not have to pay state income tax on income earned within the reservation.
McClanahan v. Arizona State Tax Commission,71-834,State governments have no authority to tax activities that occur on tribal reservation lands.
McClanahan v. Arizona State Tax Commission,71-834,Federal law takes priority over state tax laws on tribal lands.
McDonnell Douglas Corporation v. Green,72-490,The Equal Employment Opportunity Commission's decision not to find evidence of discrimination does not stop someone from taking the case to court.
McDonnell Douglas Corporation v. Green,72-490,"In a lawsuit about employment discrimination, the person suing must first present enough evidence to show that discrimination might have occurred."
San Antonio Independent School District v. Rodriguez,71-1332,The Constitution does not treat education as a right that requires the government to have a very good reason for funding differences.
San Antonio Independent School District v. Rodriguez,71-1332,The Equal Protection Clause does not require all public schools to receive exactly the same amount of funding.
San Antonio Independent School District v. Rodriguez,71-1332,School funding systems that use local property taxes are legal as long as the differences in funding aren't completely unreasonable.
United States v. Giordano,72-1057,Only the Attorney General or an Assistant Attorney General officially designated by the Attorney General can approve wiretap applications.
United States v. Giordano,72-1057,"If a wiretap application is approved by someone not authorized by law, the evidence from that wiretap cannot be used in court."
United States v. Giordano,72-1057,The Attorney General cannot give the power to approve wiretap applications to any other staff members.
United States v. Nixon,73-1766,The President cannot use executive privilege to avoid all court orders for information.
United States v. Nixon,73-1766,Courts can require the President to provide evidence needed for a criminal trial.
United States v. Nixon,73-1766,Executive privilege does not protect information required for a fair criminal trial.
Milliken v. Bradley,73-434,Federal courts cannot order schools outside a city to join a desegregation plan unless those schools were part of the segregation problem.
Milliken v. Bradley,73-434,Desegregation does not require each school to have a specific racial balance.
Milliken v. Bradley,73-434,"Local school boards have the main authority over their schools, so federal courts cannot force them to follow desegregation plans without evidence they caused segregation."
United States v. Matlock,72-1355,A person who shares control of a place can legally allow police to search it.
United States v. Matlock,72-1355,"When deciding if police collected evidence properly, judges can use information that wouldn't be allowed in a trial."
Communist Party of Indiana v. Whitcomb,72-1040,States cannot require new political parties to submit a sworn statement denying support for violent overthrow of the government as a condition to appear on the ballot unless there is proof the party is currently inciting immediate illegal actions.
Communist Party of Indiana v. Whitcomb,72-1040,It is against the Constitution for a state to apply stricter ballot access rules to new political parties than to established parties without a good reason.
Communist Party of Indiana v. Whitcomb,72-1040,The government cannot block a political party from getting on the ballot just because of their beliefs unless there is evidence they are actively promoting immediate violence.
Wolff v. McDonnell,73-679,Prison disciplinary hearings must tell inmates in writing what they are accused of.
Wolff v. McDonnell,73-679,Prison disciplinary hearings must provide a written summary of the evidence used to make a decision.
Wolff v. McDonnell,73-679,Inmates have the right to present evidence and call witnesses during disciplinary hearings unless there's a safety risk.
Wolff v. McDonnell,73-679,Prison officials can stop inmates from presenting evidence or calling witnesses if safety is at risk.
Wolff v. McDonnell,73-679,Prison staff can open mail between inmates and their lawyers in front of other people without breaking the law.
Geduldig v. Aiello,73-640,A state can choose to cover only some disabilities in a benefits program to keep costs low.
Geduldig v. Aiello,73-640,Governments are allowed to exclude specific disabilities if it's necessary to maintain the program's financial health.
Geduldig v. Aiello,73-640,It is legal for a benefits program to limit coverage based on how expensive it is to cover each condition.
United States v. Calandra,72-734,Evidence obtained through an illegal search can be used in grand jury investigations to question witnesses.
United States v. Calandra,72-734,A person cannot refuse to answer questions in a grand jury just because the evidence used to ask those questions was obtained illegally.
United States v. Calandra,72-734,The rule that prevents illegally obtained evidence from being used in court trials does not apply to grand jury proceedings.
United States v. Calandra,72-734,Grand juries are allowed to use evidence from illegal searches when deciding whether to charge someone with a crime.
United States v. Richardson,72-885,Federal taxpayers cannot sue the government to challenge how it spends money just because they pay taxes.
United States v. Richardson,72-885,"To challenge government spending in court, a taxpayer must prove that the spending violates a specific part of the Constitution that directly relates to tax funds."
Jenkins v. Georgia,73-557,Laws cannot ban films or materials that do not show very explicit sexual acts.
Jenkins v. Georgia,73-557,"Juries must use specific legal standards when deciding if something is obscene, not their personal opinions."
Jenkins v. Georgia,73-557,Material with artistic or educational value cannot be banned as obscene under the law.
Cleveland Board of Education v. LaFleur,72-777,School districts cannot require pregnant teachers to stop working at a specific point in pregnancy without considering whether each teacher is actually able to continue teaching.
Cleveland Board of Education v. LaFleur,72-777,Schools cannot force teachers to wait a set number of months after giving birth before returning to work unless there's a medical reason for that waiting period.
Cleveland Board of Education v. LaFleur,72-777,"Schools may require a doctor's note confirming a teacher is healthy enough to return to work, as long as the requirement is reasonable and related to job fitness."
Kahn v. Shevin,73-78,A law that provides benefits only to one gender is legal if the benefit addresses a problem that affects that gender more than the other.
Kahn v. Shevin,73-78,Governments can create different rules for men and women when the difference is based on real differences between the genders.
Kahn v. Shevin,73-78,"When a law uses gender to decide who gets benefits, the reason must be connected to actual differences between men and women related to the law's purpose."
Steffel v. Thompson,72-5581,"A person can challenge a law in court based on fear of arrest, even if they have never been arrested under that law."
Steffel v. Thompson,72-5581,Federal courts can rule on whether a state law is constitutional even when there's an ongoing criminal case in state court about the same law.
Mitchell v. W. T. Grant Company,72-6160,Creditors must provide documented proof of debt and a valid lien before a court can allow property seizure without a hearing.
Mitchell v. W. T. Grant Company,72-6160,Creditors must post a bond when seizing property to cover potential losses if the seizure is later found to be wrong.
Mitchell v. W. T. Grant Company,72-6160,Debtors have the right to a hearing after property is seized to challenge the seizure.
Morton v. Mancari,73-362,A later law does not cancel an earlier law unless the later law specifically says it does or the two laws conflict in a way that makes them impossible to follow together.
Morton v. Mancari,73-362,Federal job preferences for Native Americans are allowed when they are intended to support tribal self-government and are not based on race.
American Pipe & Construction Company v. Utah,72-1195,Filing a class action lawsuit pauses the time limit for all class members to file their own individual lawsuits.
American Pipe & Construction Company v. Utah,72-1195,"If a class action is dismissed after the original time limit has expired, class members can still file their own lawsuits using the remaining time that was left when the class action was first filed."
American Pipe & Construction Company v. Utah,72-1195,Defendants are not unfairly surprised by a class action lawsuit because they are informed about the potential plaintiffs and the nature of the claims.
Davis v. United States,72-1454,"If a court makes a new decision that changes the law after someone is convicted, that person can use Section 2255 to challenge their conviction."
Davis v. United States,72-1454,"Section 2255 can be used to challenge a conviction based on changes in how the law is applied, even if those changes don't involve constitutional rights."
Davis v. United States,72-1454,A person does not need to prove their trial violated the Constitution to use Section 2255; changes in how courts apply the law can be enough.
Davis v. United States,72-1454,Section 2255 allows individuals to seek relief when later court decisions change the legal standards used in their case.
Miami Herald Publishing Company v. Tornillo,73-797,The government cannot require newspapers to publish responses to criticism.
Miami Herald Publishing Company v. Tornillo,73-797,Newspapers have the right to decide what to include in their publications without government interference.
Miami Herald Publishing Company v. Tornillo,73-797,The First Amendment prevents laws that force newspapers to publish replies to criticism.
Miami Herald Publishing Company v. Tornillo,73-797,Forcing newspapers to publish replies limits the variety of public discussion.
Spence v. Washington,72-1690,It is protected by the First Amendment to display an American flag with symbols added to express a message.
Spence v. Washington,72-1690,Laws that ban displaying a flag with symbols added for expression are unconstitutional.
Spence v. Washington,72-1690,The government cannot punish people for using a flag to convey a message through added symbols.
Gertz v. Robert Welch Inc.,72-617,Media outlets can be sued for publishing false statements about private individuals if they were careless in checking the facts.
Gertz v. Robert Welch Inc.,72-617,News organizations cannot be held automatically liable for libel against private individuals; the plaintiff must prove the media was careless.
Gertz v. Robert Welch Inc.,72-617,Private individuals do not need to prove the media knew a statement was false or didn't care about the truth to win a libel case.
Gertz v. Robert Welch Inc.,72-617,Punitive damages for libel against private individuals are only awarded if the media knew the statement was false or didn't care whether it was true.
Village of Belle Terre v. Boraas,73-191,Local governments can pass zoning laws that limit a home to one family or a small number of unrelated people if the law is reasonably connected to a legitimate public goal like safety or community welfare.
Village of Belle Terre v. Boraas,73-191,Laws that treat related and unrelated people differently in housing are allowed if they make sense for the community and aren't unreasonable.
Village of Belle Terre v. Boraas,73-191,Laws that limit who can live together in a home don't violate the Constitution unless they take away basic freedoms like moving to a new place or privacy.
Village of Belle Terre v. Boraas,73-191,Communities can pass zoning laws to keep neighborhoods looking the way they want by limiting how many unrelated people live in one home.
United States v. Robinson,72-936,Police can search a person's entire body without a warrant during a lawful arrest.
United States v. Robinson,72-936,Police can search a person's pockets during a lawful arrest without needing a warrant.
Gerstein v. Pugh,73-477,"When a person is arrested without a warrant and charged by information, they have a constitutional right to a timely hearing to determine if there's probable cause for the charges."
Gerstein v. Pugh,73-477,Federal courts can review state procedures for preliminary hearings to ensure they meet constitutional standards.
Lehman v. City of Shaker Heights,73-328,Public transportation systems can refuse political advertisements without violating free speech rights.
Lehman v. City of Shaker Heights,73-328,Governments can set rules for what ads appear on their property as long as the rules are reasonable and not unfair.
Lehman v. City of Shaker Heights,73-328,Banning political ads on public transit is allowed to prevent bias or forcing ads on passengers.
Lehman v. City of Shaker Heights,73-328,Governments do not have to allow political ads on all their property.
Procunier v. Martinez,72-1465,Federal courts can decide if state rules violate the Constitution without waiting for state courts to rule first.
Procunier v. Martinez,72-1465,Rules that restrict prisoners' mail must serve a significant government interest and be the least restrictive way to achieve it.
Procunier v. Martinez,72-1465,Prison officials cannot open and read all incoming or outgoing mail without a specific reason.
Procunier v. Martinez,72-1465,Prisoners keep all constitutional rights unless those rights are limited by procedures that follow due process.
Procunier v. Martinez,72-1465,States must allow law students and legal paraprofessionals to meet with inmates under the same conditions as licensed attorneys.
Lau v. Nichols,72-6520,Schools must provide extra English help to students who don't speak English so they can understand their classes.
Lau v. Nichols,72-6520,Federal law prohibits schools from discriminating against students who don't speak English by not helping them learn the language.
